fecha,apertura
07/09/2021 00:00,52719.43
06/09/2021 00:00,51809.28
05/09/2021 00:00,49965.32
04/09/2021 00:00,50033.5
03/09/2021 00:00,49284.93
02/09/2021 00:00,48830.93
01/09/2021 00:00,47118.02
31/08/2021 00:00,46969.05
30/08/2021 00:00,48782.56
29/08/2021 00:00,48947.1
28/08/2021 00:00,49100.49
27/08/2021 00:00,46857.86
26/08/2021 00:00,49022.39
25/08/2021 00:00,47670.8
24/08/2021 00:00,49516.08
23/08/2021 00:00,49296.71
22/08/2021 00:00,48883.84
21/08/2021 00:00,49332.31
20/08/2021 00:00,46759.29
19/08/2021 00:00,44734.16
18/08/2021 00:00,44631.47
17/08/2021 00:00,45930.48
16/08/2021 00:00,47024.96
15/08/2021 00:00,47130.97
14/08/2021 00:00,47855
13/08/2021 00:00,44413.35
12/08/2021 00:00,45536.8
11/08/2021 00:00,45596.21
10/08/2021 00:00,46282.3
09/08/2021 00:00,43836.05
08/08/2021 00:00,44624.4
07/08/2021 00:00,42857.09
06/08/2021 00:00,40893.77
05/08/2021 00:00,39742.77
04/08/2021 00:00,38173.75
03/08/2021 00:00,39157.52
02/08/2021 00:00,39875.2
01/08/2021 00:00,41489.16
31/07/2021 00:00,42236.72
30/07/2021 00:00,40045.21
29/07/2021 00:00,40024.8
28/07/2021 00:00,39446.94
27/07/2021 00:00,37271.44
26/07/2021 00:00,35438.93
25/07/2021 00:00,34301.86
24/07/2021 00:00,33685
23/07/2021 00:00,32306.98
22/07/2021 00:00,32115.82
21/07/2021 00:00,29792.99
20/07/2021 00:00,30822.08
19/07/2021 00:00,31794.49
18/07/2021 00:00,31509.33
17/07/2021 00:00,31376.3
16/07/2021 00:00,31885.7
15/07/2021 00:00,32818.68
14/07/2021 00:00,32737.56
13/07/2021 00:00,33091.53
12/07/2021 00:00,34266.84
11/07/2021 00:00,33521.48
10/07/2021 00:00,33830.73
09/07/2021 00:00,32892.94
08/07/2021 00:00,33858.33
07/07/2021 00:00,34231.95
06/07/2021 00:00,33730.76
05/07/2021 00:00,35255
04/07/2021 00:00,34672.08
03/07/2021 00:00,33810.46
02/07/2021 00:00,33537.11
01/07/2021 00:00,35059.71
30/06/2021 00:00,35900.05
29/06/2021 00:00,34494.42
28/06/2021 00:00,34716.02
27/06/2021 00:00,32293.98
26/06/2021 00:00,31595.95
25/06/2021 00:00,34652.68
24/06/2021 00:00,33693.99
23/06/2021 00:00,32547.57
22/06/2021 00:00,31628.83
21/06/2021 00:00,35598.66
20/06/2021 00:00,35494.7
19/06/2021 00:00,35849.18
18/06/2021 00:00,38110.25
17/06/2021 00:00,38361.38
16/06/2021 00:00,40166.93
15/06/2021 00:00,40544.19
14/06/2021 00:00,39035.52
13/06/2021 00:00,35563.66
12/06/2021 00:00,37338.91
11/06/2021 00:00,36724.97
10/06/2021 00:00,37414.64
09/06/2021 00:00,33413.19
08/06/2021 00:00,33567.51
07/06/2021 00:00,35810.69
06/06/2021 00:00,35532.59
05/06/2021 00:00,36851.58
04/06/2021 00:00,39242.94
03/06/2021 00:00,37585.12
02/06/2021 00:00,36693.3
01/06/2021 00:00,37279.89
31/05/2021 00:00,35675.3
30/05/2021 00:00,34644.09
29/05/2021 00:00,35691.36
28/05/2021 00:00,38578.5
27/05/2021 00:00,39299.46
26/05/2021 00:00,38385.87
25/05/2021 00:00,38848.36
24/05/2021 00:00,34735.35
23/05/2021 00:00,37474.34
22/05/2021 00:00,37318.43
21/05/2021 00:00,40566.13
20/05/2021 00:00,36793.39
19/05/2021 00:00,42900.85
18/05/2021 00:00,43581.27
17/05/2021 00:00,46446.42
16/05/2021 00:00,46753.4
15/05/2021 00:00,49883.89
14/05/2021 00:00,49711.64
13/05/2021 00:00,49419.44
12/05/2021 00:00,56763.7
11/05/2021 00:00,55854.43
10/05/2021 00:00,58336.16
09/05/2021 00:00,58964.89
08/05/2021 00:00,57371.02
07/05/2021 00:00,56425.82
06/05/2021 00:00,57517.08
05/05/2021 00:00,53221.75
04/05/2021 00:00,57227.64
03/05/2021 00:00,56599.91
02/05/2021 00:00,57893.01
01/05/2021 00:00,57790.66
30/04/2021 00:00,53585.93
29/04/2021 00:00,54898.45
28/04/2021 00:00,55094.73
27/04/2021 00:00,54015.32
26/04/2021 00:00,49122.75
25/04/2021 00:00,50126.34
24/04/2021 00:00,51177.77
23/04/2021 00:00,51693.98
22/04/2021 00:00,53823.48
21/04/2021 00:00,56493.02
20/04/2021 00:00,55694.55
19/04/2021 00:00,56260.83
18/04/2021 00:00,60048.82
17/04/2021 00:00,61436.23
16/04/2021 00:00,63247.24
15/04/2021 00:00,62954.2
14/04/2021 00:00,63605.69
13/04/2021 00:00,59814.87
12/04/2021 00:00,59972.26
11/04/2021 00:00,59773.19
10/04/2021 00:00,58129.02
09/04/2021 00:00,58066.18
08/04/2021 00:00,55912.38
07/04/2021 00:00,58024.9
06/04/2021 00:00,59135.36
05/04/2021 00:00,58213.69
04/04/2021 00:00,57064.13
03/04/2021 00:00,58967.61
02/04/2021 00:00,58744
01/04/2021 00:00,58789.96
31/03/2021 00:00,58767.75
30/03/2021 00:00,57623.66
29/03/2021 00:00,55790.28
28/03/2021 00:00,55817.85
27/03/2021 00:00,55081.26
26/03/2021 00:00,51292.65
25/03/2021 00:00,52281.77
24/03/2021 00:00,54360.07
23/03/2021 00:00,54117.71
22/03/2021 00:00,57410.54
21/03/2021 00:00,58072.87
20/03/2021 00:00,58029.94
19/03/2021 00:00,57648.01
18/03/2021 00:00,58939.73
17/03/2021 00:00,56928.38
16/03/2021 00:00,55616.42
15/03/2021 00:00,58956.9
14/03/2021 00:00,61177.03
13/03/2021 00:00,57297.67
12/03/2021 00:00,57847.92
11/03/2021 00:00,55918.09
10/03/2021 00:00,54927.29
09/03/2021 00:00,52427.8
08/03/2021 00:00,50952.55
07/03/2021 00:00,48933.12
06/03/2021 00:00,48774.67
05/03/2021 00:00,48353.09
04/03/2021 00:00,50376.05
03/03/2021 00:00,48438
02/03/2021 00:00,49641.89
01/03/2021 00:00,45261.56
28/02/2021 00:00,46142.1
27/02/2021 00:00,46324.15
26/02/2021 00:00,47070.18
25/02/2021 00:00,49715.13
24/02/2021 00:00,48927.33
23/02/2021 00:00,54173.64
22/02/2021 00:00,57485.74
21/02/2021 00:00,55919.75
20/02/2021 00:00,56000.59
19/02/2021 00:00,51560.46
18/02/2021 00:00,52141.23
17/02/2021 00:00,49136.7
16/02/2021 00:00,47954.05
15/02/2021 00:00,48620.48
14/02/2021 00:00,47258.66
13/02/2021 00:00,47424.25
12/02/2021 00:00,48044.88
11/02/2021 00:00,44854.63
10/02/2021 00:00,46493.9
09/02/2021 00:00,46445.51
08/02/2021 00:00,38870.36
07/02/2021 00:00,39274.8
06/02/2021 00:00,38320
05/02/2021 00:00,36984.28
04/02/2021 00:00,37693
03/02/2021 00:00,35496.91
02/02/2021 00:00,33497.16
01/02/2021 00:00,33110.32
31/01/2021 00:00,34300.19
30/01/2021 00:00,34265.71
29/01/2021 00:00,33488.66
28/01/2021 00:00,30427.34
27/01/2021 00:00,32521.65
26/01/2021 00:00,32264.15
25/01/2021 00:00,32289.06
24/01/2021 00:00,32098.38
23/01/2021 00:00,32989.1
22/01/2021 00:00,30817.86
21/01/2021 00:00,35516.17
20/01/2021 00:00,35888.13
19/01/2021 00:00,36665.82
18/01/2021 00:00,35826.36
17/01/2021 00:00,36013.51
16/01/2021 00:00,36778.66
15/01/2021 00:00,39147.98
14/01/2021 00:00,37393.49
13/01/2021 00:00,34035.02
12/01/2021 00:00,35449.71
11/01/2021 00:00,38164.88
10/01/2021 00:00,40239.06
09/01/2021 00:00,40682.76
08/01/2021 00:00,39510.59
07/01/2021 00:00,36875.96
06/01/2021 00:00,34081.24
05/01/2021 00:00,32054.23
04/01/2021 00:00,33068.83
03/01/2021 00:00,32216.51
02/01/2021 00:00,29410.77
01/01/2021 00:00,28999.63
31/12/2020 00:00,28893.21
30/12/2020 00:00,27370
29/12/2020 00:00,27037.9
28/12/2020 00:00,26242.82
27/12/2020 00:00,26472.89
26/12/2020 00:00,24714.01
25/12/2020 00:00,23747.22
24/12/2020 00:00,23215
23/12/2020 00:00,23819.08
22/12/2020 00:00,22750.07
21/12/2020 00:00,23470.85
20/12/2020 00:00,23842.38
19/12/2020 00:00,23142.05
18/12/2020 00:00,22829.89
17/12/2020 00:00,21358.96
16/12/2020 00:00,19434.55
15/12/2020 00:00,19274.33
14/12/2020 00:00,19151.82
13/12/2020 00:00,18806.83
12/12/2020 00:00,18031.23
11/12/2020 00:00,18250.3
10/12/2020 00:00,18546.38
09/12/2020 00:00,18311.31
08/12/2020 00:00,19183.13
07/12/2020 00:00,19385.13
06/12/2020 00:00,19162.17
05/12/2020 00:00,18650.08
04/12/2020 00:00,19439.94
03/12/2020 00:00,19220.09
02/12/2020 00:00,18773.21
01/12/2020 00:00,19703.53
30/11/2020 00:00,18196.75
29/11/2020 00:00,17724.41
28/11/2020 00:00,17160.38
27/11/2020 00:00,17168.31
26/11/2020 00:00,18727.24
